# hp6633 V20160217
# 
# Start: Mon Jan  9 14:06:40 2017
# min	Volt	Ampere
1.1088	15.3040	0.0251
1.1118	15.2460	0.0251
1.1156	15.1880	0.0251
1.1185	15.1440	0.0251
1.1223	15.0860	0.0251
1.1253	15.0420	0.0245
1.1292	14.9990	0.0245
1.1322	14.9410	0.0245
1.1360	14.8970	0.0245
1.1390	14.8390	0.0245
1.1428	14.7960	0.0245
1.1458	14.7520	0.0245
1.1496	14.6940	0.0239
1.1525	14.6360	0.0239
1.1565	14.5930	0.0239
1.1595	14.5340	0.0239
1.1632	14.5050	0.0239
1.1662	14.4470	0.0233
1.1701	14.3890	0.0233
1.1731	14.3460	0.0233
1.1769	14.2880	0.0233
1.1799	14.2300	0.0233
1.1837	14.2010	0.0233
1.1869	14.1430	0.0228
1.1907	14.0990	0.0228
1.1937	14.0410	0.0228
1.1975	13.9830	0.0228
1.2005	13.9540	0.0228
1.2043	13.8960	0.0297
1.2073	13.8520	1.1838
1.2112	13.7940	1.1780
1.2142	13.7510	1.1740
1.2181	13.7070	1.1699
1.2212	13.6490	1.1670
1.2251	13.6060	1.1635
1.2281	13.5480	1.1600
1.2320	13.4900	1.1571
1.2350	13.4610	1.1548
1.2390	13.4030	1.1519
1.2420	13.3590	1.1490
1.2459	13.3010	1.1467
1.2489	13.2430	1.1438
1.2529	13.1990	1.1414
1.2559	13.1560	1.1391
1.2598	13.1120	1.1368
1.2628	13.0540	1.1345
1.2668	12.9960	1.1316
1.2698	12.9530	1.1287
1.2737	12.9090	1.1269
1.2767	12.8510	1.1240
1.2806	12.8080	1.1217
1.2836	12.7490	1.1188
1.2876	12.7060	1.1165
1.2906	12.6620	1.1147
1.2945	12.6040	1.1118
1.2975	12.5460	1.1095
1.3014	12.5030	1.1072
1.3045	12.4450	1.1043
1.3084	12.4010	1.1020
1.3114	12.3580	1.1002
1.3153	12.3000	1.0973
1.3183	12.2560	1.0950
1.3223	12.1980	1.0921
1.3253	12.1400	1.0898
1.3292	12.1110	1.0875
1.3322	12.0530	1.0851
1.3361	12.0090	1.0822
1.3392	11.9510	1.0799
1.3431	11.8930	1.0770
1.3461	11.8500	1.0753
1.3500	11.8060	1.0724
1.3539	11.7480	1.0700
1.3570	11.7050	1.0671
1.3600	11.6470	1.0648
1.3637	11.6030	1.0619
1.3667	11.5600	1.0602
1.3703	11.5010	1.0573
1.3733	11.4430	1.0544
1.3769	11.4000	1.0520
1.3800	11.3420	1.0491
1.3836	11.3130	1.0474
1.3866	11.2550	1.0445
1.3902	11.1970	1.0422
1.3932	11.1530	1.0393
1.3969	11.0950	1.0364
1.3999	11.0520	1.0346
1.4035	11.0080	1.0317
1.4065	10.9500	1.0288
1.4102	10.9060	1.0265
1.4132	10.8480	1.0236
1.4168	10.8050	1.0213
1.4198	10.7610	1.0190
1.4234	10.7030	1.0161
1.4265	10.6600	1.0137
1.4301	10.6020	1.0108
1.4331	10.5440	1.0079
1.4367	10.5000	1.0062
1.4397	10.4570	1.0033
1.4434	10.3990	1.0004
1.4464	10.3550	0.9981
1.4500	10.2970	0.9952
1.4530	10.2680	0.9928
1.4566	10.2100	0.9899
1.4596	10.1520	0.9876
1.4633	10.1080	0.9847
1.4663	10.0500	0.9818
1.4699	10.0070	0.9795
1.4729	9.9630	0.9766
1.4765	9.9050	0.9737
1.4795	9.8470	0.9708
1.4832	9.8040	0.9684
1.4862	9.7460	0.9655
1.4898	9.7020	0.9632
1.4928	9.6580	0.9603
1.4965	9.6000	0.9574
1.4994	9.5420	0.9551
1.5031	9.4990	0.9516
1.5061	9.4550	0.9499
1.5097	9.4120	0.9470
1.5127	9.3540	0.9441
1.5164	9.2960	0.9412
1.5194	9.2520	0.9383
1.5230	9.2090	0.9359
1.5260	9.1510	0.9330
1.5297	9.1070	0.9301
1.5326	9.0490	0.9272
1.5363	9.0050	0.9243
1.5393	8.9620	0.9220
1.5430	8.9040	0.9191
1.5460	8.8600	0.9162
1.5496	8.8020	0.9133
1.5526	8.7590	0.9104
1.5562	8.7010	0.9069
1.5592	8.6570	0.9052
1.5629	8.5990	0.9023
1.5659	8.5560	0.8994
1.5695	8.4970	0.8959
1.5725	8.4540	0.8930
1.5762	8.4100	0.8907
1.5792	8.3520	0.8878
1.5828	8.3090	0.8849
1.5858	8.2510	0.8819
1.5894	8.1930	0.8785
1.5925	8.1640	0.8767
1.5961	8.1060	0.8732
1.5991	8.0620	0.8703
1.6027	8.0040	0.8669
1.6057	7.9460	0.8640
1.6094	7.9030	0.8611
1.6124	7.8590	0.8587
1.6160	7.8010	0.8552
1.6190	7.7570	0.8523
1.6227	7.6990	0.8494
1.6256	7.6560	0.8460
1.6293	7.6120	0.8436
1.6323	7.5540	0.8407
1.6359	7.4960	0.8372
1.6389	7.4530	0.8343
1.6426	7.3950	0.8309
# Stop: Mon Jan  9 14:08:19 2017

